venue_no,name,region,location,rating,no_of_reviews,price_text,price_type,price_numeric,capacity,min_capacity,max_capacity,url
V1685,Eden Barn,North Yorkshire,North Yorkshire,5.0,81.0,"From £4,400",venue,4400.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/eden-barn_6762.htm
V1686,The Tithe Barn - Bolton Abbey - Cripps & Co,North Yorkshire,"Skipton, North Yorkshire",5.0,78.0,"From £2,000",venue,2000.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/the-tithe-barn-bolton-abbey-cripps-&-co_198315.htm
V1687,Bunny Hill Weddings,North Yorkshire,North Yorkshire,4.9,93.0,"From £2,400",venue,2400.0,"50 to 350
Guests",50.0,350.0,https://www.hitched.co.uk/wedding-venues/bunny-hill-weddings_8401.htm
V1688,Hackness Grange,North Yorkshire,"Scarborough, North Yorkshire",4.9,10.0,"From £3,950",meal,3950.0,"10 to 170
Guests",10.0,170.0,https://www.hitched.co.uk/wedding-venues/hackness-grange_199169.htm
V1689,Danby Castle Barn,North Yorkshire,"Whitby, North Yorkshire",5.0,70.0,"From £3,450",meal,3450.0,"20 to 220
Guests",20.0,220.0,https://www.hitched.co.uk/wedding-venues/danby-castle_4661.htm
V1690,Rushpool Hall,North Yorkshire,"Saltburn-by-the-Sea, North Yorkshire",5.0,20.0,"From £3,750",meal,3750.0,"20 to 180
Guests",20.0,180.0,https://www.hitched.co.uk/wedding-venues/rushpool-hall_200209.htm
V1691,The Coniston Hotel,North Yorkshire,"Skipton, North Yorkshire",5.0,179.0,From £99,meal,99.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-coniston-hotel_1747.htm
V1692,Egton Manor,North Yorkshire,"Whitby, North Yorkshire",5.0,11.0,"From £4,900",venue,4900.0,"1 to 160
Guests",1.0,160.0,https://www.hitched.co.uk/wedding-venues/egton-manor_288046.htm
V1693,Thirsk Lodge Barns,North Yorkshire,"Thirsk, North Yorkshire",5.0,27.0,"From £3,000",venue,3000.0,"40 to 140
Guests",40.0,140.0,https://www.hitched.co.uk/wedding-venues/thirsk-lodge-barns_8988.htm
V1694,Solberge Hall,North Yorkshire,"Northallerton, North Yorkshire",5.0,41.0,From £500,venue,500.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/solberge-hall_186797.htm
V1695,Grand Villa Heights,North Yorkshire,"Scarborough, North Yorkshire",5.0,17.0,From £75,meal,75.0,"20 to 120
Guests",20.0,120.0,https://www.hitched.co.uk/wedding-venues/grand-villa-heights_20812.htm
V1696,Yorkshire Wedding Barn,North Yorkshire,"Richmond, North Yorkshire",5.0,2.0,N/A,N/A,N/A,"60 to 250
Guests",60.0,250.0,https://www.hitched.co.uk/wedding-venues/yorkshire-wedding-barn_8996.htm
V1697,Woodstock Weddings and Events,North Yorkshire,"York, North Yorkshire",5.0,26.0,From £36,meal,36.0,"50 to 300
Guests",50.0,300.0,https://www.hitched.co.uk/wedding-venues/woodstock-weddings-and-events_7871.htm
V1698,Carr Mount Estate,North Yorkshire,"Whitby, North Yorkshire",N/A,N/A,N/A,N/A,N/A,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/carr-mount-estate_144816.htm
V1699,High Paradise Farm,North Yorkshire,"Thirsk, North Yorkshire",N/A,N/A,From £55,meal,55.0,"20 to 200
Guests",20.0,200.0,https://www.hitched.co.uk/wedding-venues/high-paradise-farm_377829.htm
V1700,Hanlith Hall,North Yorkshire,"Skipton, North Yorkshire",N/A,N/A,From £50,meal,50.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/hanlith-hall_335155.htm
V1701,The Timble Inn,North Yorkshire,"Harrogate, North Yorkshire",5.0,13.0,From £140,meal,140.0,"6 to 40
Guests",6.0,40.0,https://www.hitched.co.uk/wedding-venues/the-timble-inn_307237.htm
V1702,The Gamekeeper's Inn,North Yorkshire,"Skipton, North Yorkshire",5.0,6.0,From £85,meal,85.0,"40 to 200
Guests",40.0,200.0,https://www.hitched.co.uk/wedding-venues/the-gamekeepers-inn_7623.htm
V1703,DoubleTree by Hilton Harrogate Majestic Hotel & Spa,North Yorkshire,"Harrogate, North Yorkshire",4.5,8.0,From £100,meal,100.0,"2 to 380
Guests",2.0,380.0,https://www.hitched.co.uk/wedding-venues/doubletree-by-hilton-harrogate-majestic-hotel-spa_6563.htm
V1704,The Guildhall,North Yorkshire,"York, North Yorkshire",4.9,2.0,From £145,meal,145.0,"60 to 120
Guests",60.0,120.0,https://www.hitched.co.uk/wedding-venues/the-guildhall_291134.htm
V1705,St Elizabeths House Hotel,Devon,"Plymouth, Devon",5.0,11.0,From £54,venue,54.0,"50 to 140
Guests",50.0,140.0,https://www.hitched.co.uk/wedding-venues/st-elizabeths-house-hotel_4921.htm
V1706,Glebe House Cottages,Devon,"Holsworthy, Devon",4.7,11.0,"From £6,000",venue,6000.0,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/glebe-house-cottages_8628.htm
V1707,The Venue At Sandy Cove,Devon,"Ilfracombe, Devon",4.9,104.0,"From £2,250",venue,2250.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-venue-at-sandy-cove_6013.htm
V1708,The Osborne Hotel,Devon,"Torquay, Devon",4.8,11.0,From £100,meal,100.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-osborne-hotel_7805.htm
V1709,Tunnels Beaches,Devon,"Ilfracombe, Devon",5.0,94.0,From £40,meal,40.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/tunnels-beaches_5452.htm
V1710,Kingston Estate Totnes,Devon,"Totnes, Devon",5.0,39.0,N/A,N/A,N/A,"60 to 400
Guests",60.0,400.0,https://www.hitched.co.uk/wedding-venues/kingston-estate-totnes_697.htm
V1711,Watermouth Cove Weddings,Devon,"Ilfracombe, Devon",4.9,4.0,From £50,meal,50.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/watermouth-cove-weddings_275329.htm
V1712,Brickhouse Vineyard,Devon,"Exeter, Devon",5.0,106.0,From £950,venue,950.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/brickhouse-vineyard_8299.htm
V1713,Gara Rock,Devon,"Salcombe, Devon",N/A,N/A,From £200,meal,200.0,"2 to 114
Guests",2.0,114.0,https://www.hitched.co.uk/wedding-venues/gara-rock_8769.htm
V1714,Rockbeare Manor,Devon,"Exeter, Devon",5.0,45.0,"From £1,950",venue,1950.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/rockbeare-manor_6720.htm
V1715,Pynes House,Devon,"Exeter, Devon",5.0,8.0,"From £6,650",venue,6650.0,"130
Guests",130.0,N/A,https://www.hitched.co.uk/wedding-venues/pynes-house_6268.htm
V1716,The Horn Of Plenty,Devon,"Tavistock, Devon",4.9,64.0,From £74,meal,74.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-horn-of-plenty_724.htm
V1717,Upton Barn & Walled Garden,Devon,"Willand, Devon",4.9,128.0,"From £3,250",venue,3250.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/upton-barn-walled-garden_6958.htm
V1718,Hayne Devon,Devon,"Exeter, Devon",5.0,13.0,N/A,N/A,N/A,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/hayne-devon_8710.htm
V1719,Dartmoor Lodge Hotel,Devon,"Ashburton, Devon",N/A,N/A,From £25,meal,25.0,"200
Guests",200.0,N/A,https://www.hitched.co.uk/wedding-venues/dartmoor-lodge-hotel_116064.htm
V1720,Tawstock Court,Devon,"Barnstaple, Devon",5.0,9.0,"From £4,000",venue,4000.0,"30 to 180
Guests",30.0,180.0,https://www.hitched.co.uk/wedding-venues/tawstock-court_7967.htm
V1721,The Mole Resort,Devon,"East Devon, Devon",N/A,N/A,From £105,meal,105.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/the-mole-resort_369753.htm
V1722,The Glass House at ANRÁN: Luxury Boutique Venue,Devon,"Ashburton, Devon",5.0,23.0,"From £14,000",venue,14000.0,"2 to 400
Guests",2.0,400.0,https://www.hitched.co.uk/wedding-venues/the-glass-house-at-anra-n-luxury-boutique-venue_194603.htm
V1723,The Leaping Trout,Devon,"Tiverton, Devon",N/A,N/A,From £20,meal,20.0,"25 to 120
Guests",25.0,120.0,https://www.hitched.co.uk/wedding-venues/the-leaping-trout_368545.htm
V1724,Huntsham Court,Devon,"Tiverton, Devon",5.0,49.0,N/A,N/A,N/A,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/huntsham-court_677.htm
V1725,Launcells Barton,Devon,Devon,5.0,52.0,"From £6,750",venue,6750.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/launcells-barton_6952.htm
V1726,Tapeley Park,Devon,"Bideford, Devon",N/A,N/A,"From £2,800",venue,2800.0,"20 to 300
Guests",20.0,300.0,https://www.hitched.co.uk/wedding-venues/tapeley-park_280526.htm
V1727,The Two Bridges Hotel,Devon,"Yelverton, Devon",5.0,3.0,From £45,meal,45.0,"2 to 110
Guests",2.0,110.0,https://www.hitched.co.uk/wedding-venues/the-two-bridges-hotel_6247.htm
V1728,Higher Holcombe,Devon,"Ottery St Mary, Devon",5.0,7.0,"From £1,500",venue,1500.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/higher-holcombe_8239.htm
V1729,St Elizabeths House Hotel,Devon,"Plymouth, Devon",5.0,11.0,From £54,venue,54.0,"50 to 140
Guests",50.0,140.0,https://www.hitched.co.uk/wedding-venues/st-elizabeths-house-hotel_4921.htm
V1730,Glebe House Cottages,Devon,"Holsworthy, Devon",4.7,11.0,"From £6,000",venue,6000.0,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/glebe-house-cottages_8628.htm
V1731,The Venue At Sandy Cove,Devon,"Ilfracombe, Devon",4.9,104.0,"From £2,250",venue,2250.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-venue-at-sandy-cove_6013.htm
V1732,The Osborne Hotel,Devon,"Torquay, Devon",4.8,11.0,From £100,meal,100.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-osborne-hotel_7805.htm
V1733,Tunnels Beaches,Devon,"Ilfracombe, Devon",5.0,94.0,From £40,meal,40.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/tunnels-beaches_5452.htm
V1734,Kingston Estate Totnes,Devon,"Totnes, Devon",5.0,39.0,N/A,N/A,N/A,"60 to 400
Guests",60.0,400.0,https://www.hitched.co.uk/wedding-venues/kingston-estate-totnes_697.htm
V1735,Watermouth Cove Weddings,Devon,"Ilfracombe, Devon",4.9,4.0,From £50,meal,50.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/watermouth-cove-weddings_275329.htm
V1736,Brickhouse Vineyard,Devon,"Exeter, Devon",5.0,106.0,From £950,venue,950.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/brickhouse-vineyard_8299.htm
V1737,Gara Rock,Devon,"Salcombe, Devon",N/A,N/A,From £200,meal,200.0,"2 to 114
Guests",2.0,114.0,https://www.hitched.co.uk/wedding-venues/gara-rock_8769.htm
V1738,Rockbeare Manor,Devon,"Exeter, Devon",5.0,45.0,"From £1,950",venue,1950.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/rockbeare-manor_6720.htm
V1739,Pynes House,Devon,"Exeter, Devon",5.0,8.0,"From £6,650",venue,6650.0,"130
Guests",130.0,N/A,https://www.hitched.co.uk/wedding-venues/pynes-house_6268.htm
V1740,The Horn Of Plenty,Devon,"Tavistock, Devon",4.9,64.0,From £74,meal,74.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-horn-of-plenty_724.htm
V1741,Upton Barn & Walled Garden,Devon,"Willand, Devon",4.9,128.0,"From £3,250",venue,3250.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/upton-barn-walled-garden_6958.htm
V1742,Hayne Devon,Devon,"Exeter, Devon",5.0,13.0,N/A,N/A,N/A,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/hayne-devon_8710.htm
V1743,Dartmoor Lodge Hotel,Devon,"Ashburton, Devon",N/A,N/A,From £25,meal,25.0,"200
Guests",200.0,N/A,https://www.hitched.co.uk/wedding-venues/dartmoor-lodge-hotel_116064.htm
V1744,Tawstock Court,Devon,"Barnstaple, Devon",5.0,9.0,"From £4,000",venue,4000.0,"30 to 180
Guests",30.0,180.0,https://www.hitched.co.uk/wedding-venues/tawstock-court_7967.htm
V1745,The Mole Resort,Devon,"East Devon, Devon",N/A,N/A,From £105,meal,105.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/the-mole-resort_369753.htm
V1746,The Glass House at ANRÁN: Luxury Boutique Venue,Devon,"Ashburton, Devon",5.0,23.0,"From £14,000",venue,14000.0,"2 to 400
Guests",2.0,400.0,https://www.hitched.co.uk/wedding-venues/the-glass-house-at-anra-n-luxury-boutique-venue_194603.htm
V1747,The Leaping Trout,Devon,"Tiverton, Devon",N/A,N/A,From £20,meal,20.0,"25 to 120
Guests",25.0,120.0,https://www.hitched.co.uk/wedding-venues/the-leaping-trout_368545.htm
V1748,Huntsham Court,Devon,"Tiverton, Devon",5.0,49.0,N/A,N/A,N/A,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/huntsham-court_677.htm
V1749,Launcells Barton,Devon,Devon,5.0,52.0,"From £6,750",venue,6750.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/launcells-barton_6952.htm
V1750,Tapeley Park,Devon,"Bideford, Devon",N/A,N/A,"From £2,800",venue,2800.0,"20 to 300
Guests",20.0,300.0,https://www.hitched.co.uk/wedding-venues/tapeley-park_280526.htm
V1751,The Two Bridges Hotel,Devon,"Yelverton, Devon",5.0,3.0,From £45,meal,45.0,"2 to 110
Guests",2.0,110.0,https://www.hitched.co.uk/wedding-venues/the-two-bridges-hotel_6247.htm
V1752,Higher Holcombe,Devon,"Ottery St Mary, Devon",5.0,7.0,"From £1,500",venue,1500.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/higher-holcombe_8239.htm
V1753,St Elizabeths House Hotel,Devon,"Plymouth, Devon",5.0,11.0,From £54,venue,54.0,"50 to 140
Guests",50.0,140.0,https://www.hitched.co.uk/wedding-venues/st-elizabeths-house-hotel_4921.htm
V1754,Glebe House Cottages,Devon,"Holsworthy, Devon",4.7,11.0,"From £6,000",venue,6000.0,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/glebe-house-cottages_8628.htm
V1755,The Venue At Sandy Cove,Devon,"Ilfracombe, Devon",4.9,104.0,"From £2,250",venue,2250.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-venue-at-sandy-cove_6013.htm
V1756,The Osborne Hotel,Devon,"Torquay, Devon",4.8,11.0,From £100,meal,100.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-osborne-hotel_7805.htm
V1757,Tunnels Beaches,Devon,"Ilfracombe, Devon",5.0,94.0,From £40,meal,40.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/tunnels-beaches_5452.htm
V1758,Kingston Estate Totnes,Devon,"Totnes, Devon",5.0,39.0,N/A,N/A,N/A,"60 to 400
Guests",60.0,400.0,https://www.hitched.co.uk/wedding-venues/kingston-estate-totnes_697.htm
V1759,Watermouth Cove Weddings,Devon,"Ilfracombe, Devon",4.9,4.0,From £50,meal,50.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/watermouth-cove-weddings_275329.htm
V1760,Brickhouse Vineyard,Devon,"Exeter, Devon",5.0,106.0,From £950,venue,950.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/brickhouse-vineyard_8299.htm
V1761,Gara Rock,Devon,"Salcombe, Devon",N/A,N/A,From £200,meal,200.0,"2 to 114
Guests",2.0,114.0,https://www.hitched.co.uk/wedding-venues/gara-rock_8769.htm
V1762,Rockbeare Manor,Devon,"Exeter, Devon",5.0,45.0,"From £1,950",venue,1950.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/rockbeare-manor_6720.htm
V1763,Pynes House,Devon,"Exeter, Devon",5.0,8.0,"From £6,650",venue,6650.0,"130
Guests",130.0,N/A,https://www.hitched.co.uk/wedding-venues/pynes-house_6268.htm
V1764,The Horn Of Plenty,Devon,"Tavistock, Devon",4.9,64.0,From £74,meal,74.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-horn-of-plenty_724.htm
V1765,Upton Barn & Walled Garden,Devon,"Willand, Devon",4.9,128.0,"From £3,250",venue,3250.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/upton-barn-walled-garden_6958.htm
V1766,Hayne Devon,Devon,"Exeter, Devon",5.0,13.0,N/A,N/A,N/A,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/hayne-devon_8710.htm
V1767,Dartmoor Lodge Hotel,Devon,"Ashburton, Devon",N/A,N/A,From £25,meal,25.0,"200
Guests",200.0,N/A,https://www.hitched.co.uk/wedding-venues/dartmoor-lodge-hotel_116064.htm
V1768,Tawstock Court,Devon,"Barnstaple, Devon",5.0,9.0,"From £4,000",venue,4000.0,"30 to 180
Guests",30.0,180.0,https://www.hitched.co.uk/wedding-venues/tawstock-court_7967.htm
V1769,The Mole Resort,Devon,"East Devon, Devon",N/A,N/A,From £105,meal,105.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/the-mole-resort_369753.htm
V1770,The Glass House at ANRÁN: Luxury Boutique Venue,Devon,"Ashburton, Devon",5.0,23.0,"From £14,000",venue,14000.0,"2 to 400
Guests",2.0,400.0,https://www.hitched.co.uk/wedding-venues/the-glass-house-at-anra-n-luxury-boutique-venue_194603.htm
V1771,The Leaping Trout,Devon,"Tiverton, Devon",N/A,N/A,From £20,meal,20.0,"25 to 120
Guests",25.0,120.0,https://www.hitched.co.uk/wedding-venues/the-leaping-trout_368545.htm
V1772,Huntsham Court,Devon,"Tiverton, Devon",5.0,49.0,N/A,N/A,N/A,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/huntsham-court_677.htm
V1773,Launcells Barton,Devon,Devon,5.0,52.0,"From £6,750",venue,6750.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/launcells-barton_6952.htm
V1774,Tapeley Park,Devon,"Bideford, Devon",N/A,N/A,"From £2,800",venue,2800.0,"20 to 300
Guests",20.0,300.0,https://www.hitched.co.uk/wedding-venues/tapeley-park_280526.htm
V1775,The Two Bridges Hotel,Devon,"Yelverton, Devon",5.0,3.0,From £45,meal,45.0,"2 to 110
Guests",2.0,110.0,https://www.hitched.co.uk/wedding-venues/the-two-bridges-hotel_6247.htm
V1776,Higher Holcombe,Devon,"Ottery St Mary, Devon",5.0,7.0,"From £1,500",venue,1500.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/higher-holcombe_8239.htm
V1777,St Elizabeths House Hotel,Devon,"Plymouth, Devon",5.0,11.0,From £54,venue,54.0,"50 to 140
Guests",50.0,140.0,https://www.hitched.co.uk/wedding-venues/st-elizabeths-house-hotel_4921.htm
V1778,Glebe House Cottages,Devon,"Holsworthy, Devon",4.7,11.0,"From £6,000",venue,6000.0,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/glebe-house-cottages_8628.htm
V1779,The Venue At Sandy Cove,Devon,"Ilfracombe, Devon",4.9,104.0,"From £2,250",venue,2250.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-venue-at-sandy-cove_6013.htm
V1780,The Osborne Hotel,Devon,"Torquay, Devon",4.8,11.0,From £100,meal,100.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-osborne-hotel_7805.htm
V1781,Tunnels Beaches,Devon,"Ilfracombe, Devon",5.0,94.0,From £40,meal,40.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/tunnels-beaches_5452.htm
V1782,Kingston Estate Totnes,Devon,"Totnes, Devon",5.0,39.0,N/A,N/A,N/A,"60 to 400
Guests",60.0,400.0,https://www.hitched.co.uk/wedding-venues/kingston-estate-totnes_697.htm
V1783,Watermouth Cove Weddings,Devon,"Ilfracombe, Devon",4.9,4.0,From £50,meal,50.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/watermouth-cove-weddings_275329.htm
V1784,Brickhouse Vineyard,Devon,"Exeter, Devon",5.0,106.0,From £950,venue,950.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/brickhouse-vineyard_8299.htm
V1785,Gara Rock,Devon,"Salcombe, Devon",N/A,N/A,From £200,meal,200.0,"2 to 114
Guests",2.0,114.0,https://www.hitched.co.uk/wedding-venues/gara-rock_8769.htm
V1786,Rockbeare Manor,Devon,"Exeter, Devon",5.0,45.0,"From £1,950",venue,1950.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/rockbeare-manor_6720.htm
V1787,Pynes House,Devon,"Exeter, Devon",5.0,8.0,"From £6,650",venue,6650.0,"130
Guests",130.0,N/A,https://www.hitched.co.uk/wedding-venues/pynes-house_6268.htm
V1788,The Horn Of Plenty,Devon,"Tavistock, Devon",4.9,64.0,From £74,meal,74.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-horn-of-plenty_724.htm
V1789,Upton Barn & Walled Garden,Devon,"Willand, Devon",4.9,128.0,"From £3,250",venue,3250.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/upton-barn-walled-garden_6958.htm
V1790,Hayne Devon,Devon,"Exeter, Devon",5.0,13.0,N/A,N/A,N/A,"250
Guests",250.0,N/A,https://www.hitched.co.uk/wedding-venues/hayne-devon_8710.htm
V1791,Dartmoor Lodge Hotel,Devon,"Ashburton, Devon",N/A,N/A,From £25,meal,25.0,"200
Guests",200.0,N/A,https://www.hitched.co.uk/wedding-venues/dartmoor-lodge-hotel_116064.htm
V1792,Tawstock Court,Devon,"Barnstaple, Devon",5.0,9.0,"From £4,000",venue,4000.0,"30 to 180
Guests",30.0,180.0,https://www.hitched.co.uk/wedding-venues/tawstock-court_7967.htm
V1793,The Mole Resort,Devon,"East Devon, Devon",N/A,N/A,From £105,meal,105.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/the-mole-resort_369753.htm
V1794,The Glass House at ANRÁN: Luxury Boutique Venue,Devon,"Ashburton, Devon",5.0,23.0,"From £14,000",venue,14000.0,"2 to 400
Guests",2.0,400.0,https://www.hitched.co.uk/wedding-venues/the-glass-house-at-anra-n-luxury-boutique-venue_194603.htm
V1795,The Leaping Trout,Devon,"Tiverton, Devon",N/A,N/A,From £20,meal,20.0,"25 to 120
Guests",25.0,120.0,https://www.hitched.co.uk/wedding-venues/the-leaping-trout_368545.htm
V1796,Huntsham Court,Devon,"Tiverton, Devon",5.0,49.0,N/A,N/A,N/A,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/huntsham-court_677.htm
V1797,Launcells Barton,Devon,Devon,5.0,52.0,"From £6,750",venue,6750.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/launcells-barton_6952.htm
V1798,Tapeley Park,Devon,"Bideford, Devon",N/A,N/A,"From £2,800",venue,2800.0,"20 to 300
Guests",20.0,300.0,https://www.hitched.co.uk/wedding-venues/tapeley-park_280526.htm
V1799,The Two Bridges Hotel,Devon,"Yelverton, Devon",5.0,3.0,From £45,meal,45.0,"2 to 110
Guests",2.0,110.0,https://www.hitched.co.uk/wedding-venues/the-two-bridges-hotel_6247.htm
V1800,Higher Holcombe,Devon,"Ottery St Mary, Devon",5.0,7.0,"From £1,500",venue,1500.0,"2 to 100
Guests",2.0,100.0,https://www.hitched.co.uk/wedding-venues/higher-holcombe_8239.htm
V1801,Brinsop Court Manor House and Barn,Oxfordshire,Oxfordshire,5.0,116.0,From £55,meal,55.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/brinsop-court-manor-house-and-barn_6218.htm
V1802,Old Luxters Barn,Oxfordshire,"Henley On Thames, Oxfordshire",4.9,88.0,"From £2,500",venue,2500.0,"50 to 114
Guests",50.0,114.0,https://www.hitched.co.uk/wedding-venues/old-luxters-barn_3252.htm
V1803,Lains Barn,Oxfordshire,"Wantage, Oxfordshire",4.9,45.0,"From £2,800",venue,2800.0,"40 to 200
Guests",40.0,200.0,https://www.hitched.co.uk/wedding-venues/lains-barn_1951.htm
V1804,voco Oxford Thames,Oxfordshire,"Sanford On Thames, Oxfordshire",5.0,54.0,From £125,meal,125.0,"50 to 200
Guests",50.0,200.0,https://www.hitched.co.uk/wedding-venues/voco-oxford-thames_1932.htm
V1805,Merriscourt,Oxfordshire,"Chipping Norton, Oxfordshire",4.9,21.0,"From £1,950",venue,1950.0,"50 to 120
Guests",50.0,120.0,https://www.hitched.co.uk/wedding-venues/merriscourt_4539.htm
V1806,The Chesterton Hotel,Oxfordshire,"Bicester, Oxfordshire",N/A,N/A,From £100,venue,100.0,"80 to 300
Guests",80.0,300.0,https://www.hitched.co.uk/wedding-venues/the-chesterton-hotel_304734.htm
V1807,Ardington House,Oxfordshire,"Wantage, Oxfordshire",5.0,47.0,"From £5,500",venue,5500.0,"5 to 200
Guests",5.0,200.0,https://www.hitched.co.uk/wedding-venues/ardington-house_1949.htm
V1808,The Vines Black Bourton,Oxfordshire,"Bampton, Oxfordshire",5.0,1.0,"From £1,500",venue,1500.0,"40 to 150
Guests",40.0,150.0,https://www.hitched.co.uk/wedding-venues/the-vines-black-bourton_306706.htm
V1809,Worton Hall,Oxfordshire,"Witney, Oxfordshire",5.0,55.0,"From £3,100",venue,3100.0,"50 to 280
Guests",50.0,280.0,https://www.hitched.co.uk/wedding-venues/worton-hall_5281.htm
V1810,Notley Abbey,Oxfordshire,Oxfordshire,4.9,129.0,From £110,meal,110.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/notley-abbey_3871.htm
V1811,Garden House Venue,Oxfordshire,"Abingdon, Oxfordshire",5.0,3.0,"From £3,200",venue,3200.0,"25 to 300
Guests",25.0,300.0,https://www.hitched.co.uk/wedding-venues/garden-house-venue_9007.htm
V1812,The Harcourt Arms,Oxfordshire,"Witney, Oxfordshire",N/A,N/A,From £45,meal,45.0,"10 to 75
Guests",10.0,75.0,https://www.hitched.co.uk/wedding-venues/the-harcourt-arms_366255.htm
V1813,Mercure Oxford Hawkwell House Hotel,Oxfordshire,"Oxford, Oxfordshire",5.0,2.0,From £85,meal,85.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/mercure-oxford-hawkwell-house-hotel_306990.htm
V1814,The Tythe Barn Launton,Oxfordshire,"Bicester, Oxfordshire",5.0,146.0,"From £4,750",venue,4750.0,"40 to 220
Guests",40.0,220.0,https://www.hitched.co.uk/wedding-venues/the-tythe-barn-launton_4890.htm
